sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
HASH_2796102913418044575,"T-wave near baseline (lateral, anterior",1220,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663597091735,HASH_-5175950444294193549,T-wave near baseline (lateral,,MAPS_TO,,,0,
HASH_2796102913418044575,"T-wave near baseline (lateral, anterior",1220,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663597091735,HASH_-8917483024683267206,T-wave near baseline (anterior,,MAPS_TO,,,0,
HASH_-8329993013962328220,"T-wave near baseline (lateral, inferior",536,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663597639405,HASH_-5175950444294193549,T-wave near baseline (lateral,,MAPS_TO,,,0,
HASH_-8329993013962328220,"T-wave near baseline (lateral, inferior",536,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663597639405,HASH_-3385404386422014732,T-wave near baseline (inferior,,MAPS_TO,,,0,
HASH_-8157397368338391134,"T-wave near baseline (lateral, inferior, anterior",528,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663597643478,HASH_-5175950444294193549,T-wave near baseline (lateral,,MAPS_TO,,,0,
HASH_-8157397368338391134,"T-wave near baseline (lateral, inferior, anterior",528,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663597643478,HASH_-3385404386422014732,T-wave near baseline (inferior,,MAPS_TO,,,0,
HASH_-8157397368338391134,"T-wave near baseline (lateral, inferior, anterior",528,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663597643478,HASH_-8917483024683267206,T-wave near baseline (anterior,,MAPS_TO,,,0,
HASH_4088113339856527882,"T-wave near baseline (inferior, anterior",308,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663598285253,HASH_-3385404386422014732,T-wave near baseline (inferior,,MAPS_TO,,,0,
HASH_4088113339856527882,"T-wave near baseline (inferior, anterior",308,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663598285253,HASH_-8917483024683267206,T-wave near baseline (anterior,,MAPS_TO,,,0,
HASH_-2666752132180787831,Patroon van inferolateraal letsel,141,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663599185476,HASH_-4775068722434683001,Patroon van inferior letsel,,MAPS_TO,,,0,
HASH_-2666752132180787831,Patroon van inferolateraal letsel,141,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663599185476,HASH_-7715169911463549960,Patroon van lateraal letsel,,MAPS_TO,,,0,
HASH_2943796276213550424,Patroon van anterolateraal letsel,129,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663599187063,HASH_6748980592619271776,Patroon van anterior letsel,,MAPS_TO,,,0,
HASH_2943796276213550424,Patroon van anterolateraal letsel,129,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663599187063,HASH_-7715169911463549960,Patroon van lateraal letsel,,MAPS_TO,,,0,
HASH_7980812520452106386,"small positive T wave (lateral, anterior",65,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663599398044,HASH_5866006136011151193,small positive T wave (lateral,,MAPS_TO,,,0,
HASH_7980812520452106386,"small positive T wave (lateral, anterior",65,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663599398044,HASH_1833429859049906158,small positive T wave (anterior,,MAPS_TO,,,0,
HASH_5856957454166812809,"ST-segment depression (lateral, anterior",503,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663597691087,HASH_1419611398263238031,ST-segment depression (lateral,Condition,MAPS_TO,,Stijn Dupulthys,1663597686729,
HASH_3565263794845171444,significant ST-segment depression (lateral,281,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663598405102,HASH_1419611398263238031,ST-segment depression (lateral,Condition,MAPS_TO,,Stijn Dupulthys,1663597686729,
